MTR TC 총 184건

CD-FT-MTR-001 | 화면=소재주문등록 | 기능=사업자 | 결과= | 날짜=
CD-FT-MTR-067 | 화면=소재주문등록 | 기능=주문업체 | 결과= | 날짜=
CD-FT-MTR-068 | 화면=소재주문등록 | 기능=긴급 | 결과= | 날짜=
CD-FT-MTR-069 | 화면=소재주문등록 | 기능=소재납기 | 결과= | 날짜=
CD-FT-MTR-070 | 화면=소재주문등록 | 기능=주문요청사항_요청사항 | 결과= | 날짜=
CD-FT-MTR-071 | 화면=소재주문등록 | 기능=주문요청사항_비고사항 | 결과= | 날짜=
CD-FT-MTR-072 | 화면=소재주문등록 | 기능=비고 | 결과= | 날짜=
CD-FT-MTR-073 | 화면=소재주문등록 | 기능=- Icon | 결과= | 날짜=
CD-FT-MTR-074 | 화면=소재주문등록 | 기능=전체조회건수 | 결과= | 날짜=
CD-FT-MTR-075 | 화면=부적합 이력 조회 | 기능=Enter Your Keyword | 결과= | 날짜=
CD-FT-MTR-076 | 화면=부적합 이력 조회 | 기능=All Fields | 결과= | 날짜=
CD-FT-MTR-077 | 화면=부적합 이력 조회 | 기능=Contains | 결과= | 날짜=
CD-FT-MTR-078 | 화면=부적합 이력 조회 | 기능=Fix | 결과= | 날짜=
CD-FT-MTR-079 | 화면=부적합 이력 조회 | 기능=등록일자_시작 | 결과= | 날짜=
CD-FT-MTR-080 | 화면=부적합 이력 조회 | 기능=등록일자_끝 | 결과= | 날짜=
CD-FT-MTR-081 | 화면=부적합 이력 조회 | 기능=기간(1주/1개월) | 결과= | 날짜=
CD-FT-MTR-082 | 화면=부적합 이력 조회 | 기능=발생등급 | 결과= | 날짜=
CD-FT-MTR-083 | 화면=부적합 이력 조회 | 기능=검색 | 결과= | 날짜=
CD-FT-MTR-084 | 화면=부적합 이력 조회 | 기능=소재주문 | 결과= | 날짜=
CD-FT-MTR-085 | 화면=부적합 이력 조회 | 기능=Check Box | 결과= | 날짜=
CD-FT-MTR-086 | 화면=부적합 이력 조회 | 기능=작업상세정보 | 결과= | 날짜=
CD-FT-MTR-087 | 화면=부적합 이력 조회 | 기능=Drawing Information(도면미리보기) | 결과= | 날짜=
CD-FT-MTR-088 | 화면=부적합 이력 조회 | 기능=소재주문번호 | 결과= | 날짜=
CD-FT-MTR-089 | 화면=부적합 이력 조회 | 기능=전체조회건수 | 결과= | 날짜=
CD-FT-MTR-090 | 화면=소재주문이력 | 기능=작업지시번호 | 결과= | 날짜=
CD-FT-MTR-091 | 화면=소재주문이력 | 기능=소재주문번호 | 결과= | 날짜=
CD-FT-MTR-092 | 화면=소재주문이력 | 기능=소재주문업체 | 결과= | 날짜=
CD-FT-MTR-093 | 화면=소재주문이력 | 기능=소재종류 | 결과= | 날짜=
CD-FT-MTR-094 | 화면=소재주문이력 | 기능=주문일시_시작 | 결과= | 날짜=
CD-FT-MTR-095 | 화면=소재주문이력 | 기능=주문일시_끝 | 결과= | 날짜=
CD-FT-MTR-096 | 화면=소재주문이력 | 기능=불량재주문 조회 | 결과= | 날짜=
CD-FT-MTR-097 | 화면=소재주문이력 | 기능=발주사업자 | 결과= | 날짜=
CD-FT-MTR-098 | 화면=소재주문이력 | 기능=수행공장 | 결과= | 날짜=
CD-FT-MTR-099 | 화면=소재주문이력 | 기능=검색 | 결과= | 날짜=
